500fib,8,1684
750fib,11,3080
1000fib,14,4152
10kfib,170,52596
20krecognize,91,4696
50krecognize,237,9924
500naiveReverse,133,63024
1000naiveReverse,532,251328
2000shuttle,11,1364
5000shuttle,28,3700
20000shuttle,111,14484
50000shuttle,284,38592
10kpingpong,46,7356
20kpingpong,89,15888
50pDblFstLoop,248,2872
100pDblFstLoop,2118,11652
50pDoubleFirst,47,1288
100pDoubleFirst,361,6108
200pDoubleFirst,2937,23664
500pDoubleFirst,44256,148884
pyramid500,277,19276
bintree18,11391,1396516
testJoins,325,35348
mondial,3094,33560
